question_id,option_num,option_slug
13_4_4,4,ad_hoc_funding
13_4_4,5,no
13_4_5,1,fully_implemented
13_4_5,2,partially_implemented
13_4_5,3,planned
13_4_5,4,not_implemented
13_4_5,5,not_applicable
13_4_6,1,formal_documented_process
13_4_6,2,automated_system
13_4_6,3,manual_process
13_4_6,4,not_currently_implemented
13_4_7,1,yes
13_4_7,2,no
13_4_8,1,formal_documented_process
13_4_8,2,automated_system
13_4_8,3,manual_process
13_4_8,4,not_currently_implemented
14_1_1,1,yes
14_1_1,2,no
14_1_2,1,biometric
14_1_2,2,card_badge_access
14_1_2,3,pin_password
14_1_2,4,multi_factor
14_1_2,5,security_personnel
14_1_2,6,no
14_1_3,1,24_7_monitoring
14_1_3,2,recording_only
14_1_3,3,motion_activated
14_1_3,4,limited_coverage
14_1_3,5,no
14_1_4,1,formal_documented_process
14_1_4,2,automated_system
14_1_4,3,manual_process
14_1_4,4,third_party_managed
14_1_4,5,informal_process
14_1_4,6,not_currently_managed
14_1_5,1,yes
14_1_5,2,no
14_1_6,1,quarterly
14_1_6,2,annually
14_1_6,3,only_after_changes
14_1_6,4,only_after_major_changes
14_1_6,5,as_needed
14_2_1,1,fully_implemented
14_2_1,2,partially_implemented
14_2_1,3,planned
14_2_1,4,not_implemented
14_2_1,5,not_applicable
14_2_2,1,ups_systems
14_2_2,2,generators
14_2_2,3,battery_backup
14_2_2,4,multiple_power_sources
14_2_2,5,none
14_2_3,1,encryption
14_2_3,2,access_controls
14_2_3,3,network_segmentation
14_2_3,4,monitoring_and_logging
14_2_3,5,security_policies
14_2_3,6,not_currently_secured
14_2_4,1,yes
14_2_4,2,no
14_3_1,1,encryption
14_3_1,2,access_controls
14_3_1,3,network_segmentation
14_3_1,4,monitoring_and_logging
14_3_1,5,security_policies
14_3_1,6,not_currently_secured
14_3_10,1,yes
14_3_10,2,no
14_3_11,1,encryption
14_3_11,2,access_controls
14_3_11,3,network_segmentation
14_3_11,4,monitoring_and_logging
14_3_11,5,security_policies
14_3_11,6,not_currently_secured
14_3_12,1,yes
14_3_12,2,no
14_3_13,1,daily
14_3_13,2,weekly
14_3_13,3,monthly
14_3_13,4,real_time_continuous
14_3_13,5,no
14_3_14,1,yes
14_3_14,2,no
14_3_15,1,formal_documented_process
14_3_15,2,automated_system
14_3_15,3,manual_process
14_3_15,4,third_party_managed
14_3_15,5,informal_process
14_3_15,6,not_currently_managed
14_3_16,1,annually
14_3_16,2,bi_annually
14_3_16,3,as_needed
14_3_16,4,never
14_3_16,5,not_sure
14_3_2,1,yes
14_3_2,2,no
14_3_3,1,formal_documented_process
14_3_3,2,automated_system
14_3_3,3,manual_process
14_3_3,4,third_party_managed
14_3_3,5,informal_process
14_3_3,6,not_currently_managed
14_3_4,1,yes
14_3_4,2,no
14_3_5,1,encryption
14_3_5,2,access_controls
14_3_5,3,network_segmentation
14_3_5,4,monitoring_and_logging
14_3_5,5,security_policies
14_3_5,6,not_currently_secured
14_3_6,1,yes
14_3_6,2,no
14_3_7,1,formal_documented_process
14_3_7,2,automated_system
14_3_7,3,manual_process
14_3_7,4,third_party_managed
14_3_7,5,informal_process
14_3_7,6,not_currently_managed
14_3_8,1,annually
14_3_8,2,bi_annually
14_3_8,3,as_needed
14_3_8,4,never
14_3_9,1,encryption
14_3_9,2,access_controls
14_3_9,3,network_segmentation
14_3_9,4,monitoring_and_logging
14_3_9,5,security_policies
14_3_9,6,not_currently_secured
15_1_1,1,yes
15_1_1,2,no
15_1_2,1,commercial_solution
15_1_2,2,open_source_solution
15_1_2,3,custom_built_solution
15_1_2,4,managed_service
15_1_2,5,not_deployed
15_1_2,6,not_sure
15_1_3,1,yes
15_1_3,2,no
15_1_4,1,automated_correlation
15_1_4,2,manual_analysis
15_1_4,3,hybrid_approach
15_1_4,4,no
15_1_4,5,not_sure
15_1_5,1,1_hour
15_1_5,2,1_4_hours
15_1_5,3,4_24_hours
15_1_5,4,24_hours
15_1_5,5,not_measured
15_1_5,6,not_sure
15_1_6,1,yes
15_1_6,2,no
15_1_7,1,formal_documented_process
15_1_7,2,automated_system
15_1_7,3,manual_process
15_1_7,4,third_party_managed
15_1_7,5,informal_process
15_1_7,6,not_currently_managed
15_1_7,7,not_sure
15_2_1,1,yes
15_2_1,2,no
15_2_2,1,type_a
15_2_2,2,type_b
15_2_2,3,type_c
15_2_2,4,hybrid
15_2_2,5,not_applicable
15_2_2,6,not_sure
15_2_3,1,regularly
15_2_3,2,occasionally
15_2_3,3,after_incidents
15_2_3,4,never
15_2_3,5,not_sure
15_2_4,1,formal_documented_process
15_2_4,2,automated_system
15_2_4,3,manual_process
15_2_4,4,not_currently_implemented
15_2_4,5,not_sure
15_2_5,1,yes
15_2_5,2,no
15_2_6,1,formal_documented_process
15_2_6,2,automated_system
15_2_6,3,manual_process
15_2_6,4,not_currently_implemented
15_2_6,5,not_sure
15_3_1,1,yes
15_3_1,2,no
15_3_2,1,type_a
15_3_2,2,type_b
15_3_2,3,type_c
15_3_2,4,hybrid
15_3_2,5,not_applicable
15_3_2,6,not_sure
15_3_3,1,30_days
15_3_3,2,90_days
15_3_3,3,6_months
15_3_3,4,1_year
15_3_3,5,1_year_5
15_3_3,6,varies_by_log_type
15_3_3,7,not_sure
15_3_4,1,fully_implemented
15_3_4,2,partially_implemented
15_3_4,3,planned
15_3_4,4,not_implemented
15_3_4,5,not_applicable
15_3_4,6,not_sure
15_3_5,1,formal_documented_process
15_3_5,2,automated_system
15_3_5,3,manual_process
15_3_5,4,not_currently_implemented
15_3_5,5,not_sure
15_3_6,1,yes
15_3_6,2,no
16_1_1,1,yes
16_1_1,2,no
16_1_2,1,continuously
16_1_2,2,daily
16_1_2,3,weekly
16_1_2,4,monthly
16_1_2,5,quarterly
16_1_2,6,only_when_issues
16_1_2,7,not_monitored
16_1_3,1,type_a
16_1_3,2,type_b
16_1_3,3,type_c
16_1_3,4,hybrid
16_1_3,5,not_applicable
16_1_3,6,not_sure
16_1_4,1,yes
16_1_4,2,no
16_1_5,1,regularly
16_1_5,2,annually
16_1_5,3,occasionally
16_1_5,4,never
16_1_5,5,not_sure
16_1_6,1,formal_documented_process
16_1_6,2,automated_system
16_1_6,3,manual_process
16_1_6,4,not_currently_implemented
16_1_6,5,not_sure
16_1_7,1,yes
16_1_7,2,no
16_2_1,1,yes
16_2_1,2,no
16_2_2,1,formal_documented_process
16_2_2,2,automated_system
16_2_2,3,manual_process
16_2_2,4,not_currently_implemented
16_2_2,5,not_sure
16_2_3,1,critical_24h_high_7d_medium_30d
16_2_3,2,critical_72h_high_14d_medium_60d
16_2_3,3,critical_7d_high_30d_medium_90d
16_2_3,4,no
16_2_3,5,not_sure
16_2_4,1,formal_documented_process
16_2_4,2,automated_system
16_2_4,3,manual_process
16_2_4,4,not_currently_implemented
16_2_4,5,not_sure
16_2_5,1,yes
16_2_5,2,no
16_2_6,1,formal_documented_process
16_2_6,2,automated_system
16_2_6,3,manual_process
16_2_6,4,third_party_managed
16_2_6,5,informal_process
16_2_6,6,not_currently_managed
16_2_6,7,not_sure
16_3_1,1,yes
16_3_1,2,no
16_3_10,1,formal_documented_process
16_3_10,2,automated_system
16_3_10,3,manual_process
16_3_10,4,third_party_managed
16_3_10,5,informal_process
16_3_10,6,not_currently_managed
16_3_2,1,formal_documented_process
16_3_2,2,automated_system
16_3_2,3,manual_process
16_3_2,4,not_currently_implemented
16_3_2,5,not_sure
16_3_3,1,within_24_hours
16_3_3,2,within_72_hours
16_3_3,3,within_1_week
16_3_3,4,within_1_month
16_3_3,5,no
16_3_3,6,not_sure
16_3_4,1,formal_documented_process
16_3_4,2,automated_system
16_3_4,3,manual_process
16_3_4,4,not_currently_implemented
16_3_4,5,not_sure
16_3_5,1,fully_automated
16_3_5,2,semi_automated
16_3_5,3,manual_only
16_3_5,4,varies_by_system_type
16_3_5,5,not_sure
16_3_6,1,formal_documented_process
16_3_6,2,automated_system
16_3_6,3,manual_process
16_3_6,4,not_currently_implemented
16_3_6,5,not_sure
16_3_7,1,formal_documented_process
16_3_7,2,automated_system
16_3_7,3,manual_process
16_3_7,4,third_party_managed
16_3_7,5,informal_process
16_3_7,6,not_currently_managed
16_3_7,7,not_sure
16_3_8,1,yes
16_3_8,2,no
16_3_9,1,yes
16_3_9,2,no
17_1_1,1,gdpr
17_1_1,2,hipaa
17_1_1,3,pci_dss
17_1_1,4,soc_2
17_1_1,5,iso_27001
17_1_1,6,nist_csf
17_1_1,7,not_applicable
17_1_2,1,yes
17_1_2,2,no
17_1_3,1,formal_documented_process
17_1_3,2,automated_system
17_1_3,3,manual_process
17_1_3,4,not_currently_implemented
17_1_4,1,monthly
17_1_4,2,quarterly
17_1_4,3,annually
17_1_4,4,bi_annually
17_1_4,5,as_required
17_1_4,6,never
17_1_5,1,formal_documented_process
17_1_5,2,automated_system
17_1_5,3,manual_process
17_1_5,4,third_party_managed
17_1_5,5,informal_process
17_1_5,6,not_currently_managed
17_1_6,1,yes
17_1_6,2,no
17_1_7,1,formal_documented_process
17_1_7,2,automated_system
17_1_7,3,manual_process
17_1_7,4,not_currently_implemented
17_2_1,1,yes
17_2_1,2,no
17_2_2,1,quarterly
17_2_2,2,annually
17_2_2,3,only_after_changes
17_2_2,4,only_after_major_changes
17_2_2,5,as_needed
17_2_3,1,option_1
17_2_3,2,option_2
17_2_3,3,option_3
17_2_3,4,option_4
17_2_3,5,not_applicable
17_2_4,1,internal_audit_team
17_2_4,2,it_security_team
17_2_4,3,external_consultants
17_2_4,4,mixed_approach
17_2_4,5,no
17_2_5,1,formal_documented_process
17_2_5,2,automated_system
17_2_5,3,manual_process
17_2_5,4,not_currently_implemented
17_2_6,1,yes
17_2_6,2,no
17_3_1,1,yes
17_3_1,2,no
17_3_2,1,type_a
17_3_2,2,type_b
17_3_2,3,type_c
17_3_2,4,hybrid
17_3_2,5,not_applicable
17_3_3,1,formal_documented_process
17_3_3,2,automated_system
17_3_3,3,manual_process
17_3_3,4,not_currently_implemented
17_3_4,1,fully_implemented
17_3_4,2,partially_implemented
17_3_4,3,planned
17_3_4,4,not_implemented
17_3_4,5,not_applicable
17_3_5,1,formal_documented_process
17_3_5,2,automated_system
17_3_5,3,manual_process
17_3_5,4,third_party_managed
17_3_5,5,informal_process
17_3_5,6,not_currently_managed
17_3_6,1,yes
17_3_6,2,no
17_3_7,1,formal_documented_process
17_3_7,2,automated_system
17_3_7,3,manual_process
17_3_7,4,not_currently_implemented
17_3_7,5,not_applicable
18_1_1,1,yes
18_1_1,2,no
18_1_2,1,formal_documented_process
18_1_2,2,automated_system
18_1_2,3,manual_process
18_1_2,4,not_currently_implemented
18_1_2,5,not_applicable
18_1_3,1,yes
18_1_3,2,no
18_1_4,1,formal_documented_process
18_1_4,2,automated_system
18_1_4,3,manual_process
18_1_4,4,third_party_managed
18_1_4,5,informal_process
18_1_4,6,not_currently_managed
18_1_4,7,not_applicable
18_1_5,1,continuous_monitoring
18_1_5,2,periodic_monitoring
18_1_5,3,passive_monitoring_only
18_1_5,4,no
18_1_5,5,not_applicable
18_1_6,1,yes
18_1_6,2,no
18_2_1,1,yes
18_2_1,2,no
18_2_2,1,encryption
18_2_2,2,access_controls
18_2_2,3,network_segmentation
18_2_2,4,monitoring_and_logging
18_2_2,5,security_policies
18_2_2,6,not_currently_secured
18_2_2,7,not_applicable
18_2_3,1,comprehensive_inventory
18_2_3,2,partial_inventory
18_2_3,3,manual_tracking
18_2_3,4,no
18_2_3,5,not_applicable
18_2_4,1,formal_documented_process
18_2_4,2,automated_system
18_2_4,3,manual_process
18_2_4,4,third_party_managed
18_2_4,5,informal_process
18_2_4,6,not_currently_managed
18_2_4,7,not_applicable
18_2_5,1,continuous_monitoring
18_2_5,2,periodic_monitoring
18_2_5,3,anomaly_detection
18_2_5,4,no
18_2_5,5,not_applicable
19_1_1,1,yes
19_1_1,2,no
19_1_2,1,fully_implemented
19_1_2,2,partially_implemented
19_1_2,3,planned
19_1_2,4,not_implemented
19_1_2,5,not_applicable
19_1_3,1,formal_documented_process
19_1_3,2,automated_system
19_1_3,3,manual_process
19_1_3,4,not_currently_implemented
19_1_3,5,not_applicable
19_1_4,1,regular_testing
19_1_4,2,occasional_testing
19_1_4,3,only_for_critical_models
19_1_4,4,no
19_1_4,5,not_applicable
19_1_5,1,encryption
19_1_5,2,access_controls
19_1_5,3,network_segmentation
19_1_5,4,monitoring_and_logging
19_1_5,5,security_policies
19_1_5,6,not_currently_secured
19_1_5,7,not_applicable
19_1_6,1,fully_implemented
19_1_6,2,partially_implemented
19_1_6,3,planned
19_1_6,4,not_implemented
19_1_6,5,not_applicable
19_2_1,1,encryption
19_2_1,2,access_controls
19_2_1,3,network_segmentation
19_2_1,4,monitoring_and_logging
19_2_1,5,security_policies
19_2_1,6,not_currently_secured
19_2_1,7,not_applicable
19_2_2,1,fully_implemented
19_2_2,2,partially_implemented
19_2_2,3,planned
19_2_2,4,not_implemented
19_2_2,5,not_applicable
19_2_3,1,encryption
19_2_3,2,access_controls
19_2_3,3,network_segmentation
19_2_3,4,monitoring_and_logging
19_2_3,5,security_policies
19_2_3,6,not_currently_secured
19_2_3,7,not_applicable
19_2_4,1,yes
19_2_4,2,no
1_1_1,1,documented_approved_maintained
1_1_1,2,documented_but_stale
1_1_1,3,informal_understanding
1_1_1,4,no_strategy
1_1_1,5,not_sure
1_1_2,1,quarterly
1_1_2,2,annually
1_1_2,3,only_after_changes
1_1_2,4,only_after_major_changes
1_1_3,1,fully_aligned
1_1_3,2,partially_aligned
1_1_3,3,not_aligned
1_1_3,4,unknown
1_1_4,1,ciso
1_1_4,2,cio
1_1_4,3,ceo
1_1_4,4,board
1_1_4,5,shared_between_multiple_executives
1_1_4,6,no
1_1_4,7,other
1_1_5,1,very_low
1_1_5,2,low
1_1_5,3,medium
1_1_5,4,high
1_1_5,5,very_high
1_1_6,1,yes
1_1_6,2,no
1_1_7,1,ad_hoc
1_1_7,2,defined
1_1_7,3,managed
1_1_7,4,optimized
1_2_1,1,0_5
1_2_1,2,6_15
1_2_1,3,16_30
1_2_1,4,30
1_2_2,1,quarterly
1_2_2,2,annually
1_2_2,3,only_after_changes
1_2_2,4,only_after_major_changes
1_2_3,1,1_year
1_2_3,2,1_2_years
1_2_3,3,2_3_years
1_2_3,4,3_years
1_2_3,5,unknown
1_2_4,1,yes
1_2_4,2,no
1_2_5,1,yes
1_2_5,2,no
1_2_6,1,fully_implemented
1_2_6,2,partially_implemented
1_2_6,3,planned
1_2_6,4,not_implemented
1_2_6,5,not_sure
1_2_7,1,yes
1_2_7,2,no
1_3_1,1,76_100
1_3_1,2,51_75
1_3_1,3,26_50
1_3_1,4,0_25
1_3_1,5,not_sure
1_3_2,1,increased_significantly
1_3_2,2,increased_slightly
1_3_2,3,remained_same
1_3_2,4,decreased
1_3_3,1,yes
1_3_3,2,no
1_3_4,1,0
1_3_4,2,1_5
1_3_4,3,6_15
1_3_4,4,16_30
1_3_4,5,30
1_3_5,1,yes
1_3_5,2,no
1_3_6,1,risk_based
1_3_6,2,compliance_driven
1_3_6,3,industry_benchmarks
1_3_6,4,ad_hoc
1_4_1,1,fully_implemented
1_4_1,2,partially_implemented
1_4_1,3,planned
1_4_2,1,monthly
1_4_2,2,quarterly
1_4_2,3,annually
1_4_2,4,never
1_4_3,1,security_incidents_count
1_4_3,2,mean_time_to_detect_mttd
1_4_3,3,mean_time_to_respond_mttr
1_4_3,4,vulnerability_remediation_time
1_4_3,5,patch_compliance_rate
1_4_3,6,user_awareness_training_completion
1_4_3,7,security_audit_findings
1_4_3,8,risk_assessment_scores
1_4_4,1,yes
1_4_4,2,no
1_4_5,1,quantitative_metrics
1_4_5,2,qualitative_assessments
1_4_5,3,both
1_4_5,4,not_measured
1_4_6,1,incident_response_time
1_4_6,2,vulnerability_remediation_rate
1_4_6,3,security_awareness_metrics
1_4_6,4,compliance_status
1_4_6,5,access_control_effectiveness
1_4_6,6,security_tool_coverage
1_4_6,7,no
1_4_7,1,yes
1_4_7,2,no
1_4_8,1,maturity_model_framework
1_4_8,2,capability_assessments
1_4_8,3,benchmark_comparisons
1_4_8,4,audit_results
1_4_8,5,self_assessment
1_4_8,6,not_measured
1_4_9,1,incident_statistics
1_4_9,2,risk_posture
1_4_9,3,compliance_status
1_4_9,4,security_investments
1_4_9,5,program_maturity
1_4_9,6,vulnerability_metrics
1_4_9,7,third_party_risk
1_4_9,8,no
1_4_9,9,not_sure
2_1_1,1,quarterly
2_1_1,2,annually
2_1_1,3,only_after_changes
2_1_1,4,only_after_major_changes
2_1_1,5,as_needed
2_1_1,6,no_formal_review
2_1_2,1,yes
2_1_2,2,no
2_1_3,1,nist
2_1_3,2,iso_27001
2_1_3,3,fair
2_1_3,4,custom
2_1_3,5,none
2_1_4,1,yes
2_1_4,2,no
2_1_5,1,impact_x_likelihood
2_1_5,2,business_criticality
2_1_5,3,regulatory_requirements
2_1_5,4,ad_hoc
2_1_5,5,not_prioritized
2_1_6,1,yes
2_1_6,2,no
2_1_7,1,quarterly
2_1_7,2,annually
2_1_7,3,only_after_changes
2_1_7,4,only_after_major_changes
2_1_7,5,as_needed
2_2_1,1,avoid
2_2_1,2,mitigate
2_2_1,3,transfer
2_2_1,4,accept
2_2_1,5,monitor
2_2_1,6,not_applicable
2_2_2,1,yes
2_2_2,2,no
2_2_3,1,automated_tools
2_2_3,2,manual_tracking
2_2_3,3,periodic_reviews
2_2_3,4,not_tracked
2_2_4,1,yes
2_2_4,2,no
2_2_5,1,formally_documented
2_2_5,2,informally_understood
2_2_5,3,under_development
2_2_5,4,not_defined
2_2_6,1,regular_reports
2_2_6,2,dashboard_metrics
2_2_6,3,ad_hoc_briefings
2_2_6,4,not_communicated
2_3_1,1,yes
2_3_1,2,no
2_3_2,1,critical_high_medium_low
2_3_2,2,tier_1_2_3
2_3_2,3,custom_classification
